Timestamp (ASCII);Timestamp (s);Timecounter (s);IMU X Acc (G);IMU Y Acc (G);IMU Z Acc (G);IMU X Gyr (dps);IMU Y Gyr (dps);IMU Z Gyr (dps);IMU X Mag (gauss);IMU Y Mag (gauss);IMU Z Mag (gauss);Temperature (C);Batt Voltage (V);RSSI (-dB)
05.03.2026 17:28:48.710156;1772728128.7101562;0.7413823;0.0345260;-0.0080520;-0.9794160;-0.5775000;-0.6825000;0.0875000;0.0543621;-0.1924594;-0.0960105;9.5273438;4.0000000;60
05.03.2026 17:28:48.719210;1772728128.7192099;0.7504365;0.0350140;-0.0082960;-0.9790500;-0.7175000;-0.6125000;0.1050000;0.0543621;-0.1924594;-0.0960105;9.5273438;4.0000000;60
05.03.2026 17:28:48.728264;1772728128.7282639;0.7594907;0.0347700;-0.0079300;-0.9789280;-0.5950000;-0.7000000;0.1575000;0.0543621;-0.1924594;-0.0960105;9.5273438;4.0000000;60
05.03.2026 17:28:48.737318;1772728128.7373176;0.7685450;0.0348920;-0.0081740;-0.9790500;-0.5600000;-0.7000000;0.1575000;0.0543621;-0.1924594;-0.0960105;9.5273438;4.0000000;60
05.03.2026 17:28:48.746371;1772728128.7463713;0.7775993;0.0345260;-0.0082960;-0.9778300;-0.5775000;-0.7000000;0.1400000;0.0425252;-0.2012275;-0.1060938;9.5273438;4.0000000;60
05.03.2026 17:28:48.755425;1772728128.7554252;0.7866535;0.0344040;-0.0087840;-0.9792940;-0.5600000;-0.6650000;0.1925000;0.0425252;-0.2012275;-0.1060938;9.5273438;4.0000000;60
05.03.2026 17:28:48.764479;1772728128.7644789;0.7957078;0.0350140;-0.0075640;-0.9786840;-0.5775000;-0.7175000;0.1925000;0.0425252;-0.2012275;-0.1060938;9.5273438;4.0000000;60
05.03.2026 17:28:48.773533;1772728128.7735329;0.8047620;0.0347700;-0.0073200;-0.9790500;-0.5950000;-0.6300000;0.1225000;0.0425252;-0.2012275;-0.1060938;9.5273438;4.0000000;60
05.03.2026 17:28:48.782587;1772728128.7825866;0.8138163;0.0341600;-0.0082960;-0.9785620;-0.5075000;-0.6300000;0.1925000;0.0425252;-0.2012275;-0.1060938;9.5273438;4.0000000;60
05.03.2026 17:28:48.791640;1772728128.7916403;0.8228705;0.0341600;-0.0080520;-0.9791720;-0.6125000;-0.6300000;0.1575000;0.0425252;-0.2012275;-0.1060938;9.5273438;4.0000000;60
05.03.2026 17:28:48.800694;1772728128.8006942;0.8319247;0.0348920;-0.0085400;-0.9786840;-0.5950000;-0.6300000;0.1400000;0.0425252;-0.2012275;-0.1060938;9.5273438;4.0000000;60
