Timestamp (ASCII);Timestamp (s);Timecounter (s);Ch 1;Ch 2;Ch 3;Ch 4;
06.02.2026 15:12:31.834682;1770387151.8346820;1.0426008;-0.1723468;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.844637;1770387151.8446372;1.0525511;-0.1723273;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.854592;1770387151.8545923;1.0625014;-0.1723254;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.864548;1770387151.8645477;1.0724516;-0.1722509;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.874503;1770387151.8745029;1.0824019;-0.1723031;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.884458;1770387151.8844581;1.0923522;-0.1722481;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.894413;1770387151.8944135;1.1023025;-0.1722667;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.904369;1770387151.9043686;1.1122527;-0.1723366;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.914324;1770387151.9143238;1.1222030;-0.1723440;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.924279;1770387151.9242792;1.1321533;-0.1722593;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.934234;1770387151.9342344;1.1421035;-0.1723105;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.944190;1770387151.9441895;1.1520538;-0.1722667;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.954145;1770387151.9541450;1.1620041;-0.1723198;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.964100;1770387151.9641001;1.1719544;-0.1722788;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.974055;1770387151.9740553;1.1819046;-0.1723319;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.984011;1770387151.9840107;1.1918549;-0.1722742;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:31.993966;1770387151.9939659;1.2018052;-0.1722733;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.003921;1770387152.0039210;1.2117555;-0.1722593;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.013876;1770387152.0138764;1.2217057;-0.1723068;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.023832;1770387152.0238316;1.2316560;-0.1723003;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.033787;1770387152.0337868;1.2416063;-0.1723329;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.043742;1770387152.0437422;1.2515565;-0.1722956;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.053697;1770387152.0536973;1.2615068;-0.1723450;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.063653;1770387152.0636525;1.2714571;-0.1723403;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.073608;1770387152.0736079;1.2814074;-0.1723012;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.083563;1770387152.0835631;1.2913576;-0.1723031;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.093518;1770387152.0935183;1.3013079;-0.1723077;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.103474;1770387152.1034737;1.3112582;-0.1722844;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.113429;1770387152.1134288;1.3212085;-0.1723040;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.123384;1770387152.1233840;1.3311587;-0.1722630;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.133339;1770387152.1333394;1.3411090;-0.1723226;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.143295;1770387152.1432946;1.3510593;-0.1723235;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.153250;1770387152.1532497;1.3610095;-0.1723515;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.163205;1770387152.1632051;1.3709598;-0.1723133;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.173160;1770387152.1731603;1.3809101;-0.1723040;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.183115;1770387152.1831155;1.3908604;-0.1723384;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.193071;1770387152.1930709;1.4008106;-0.1723394;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.203026;1770387152.2030261;1.4107609;-0.1722509;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.212981;1770387152.2129812;1.4207112;-0.1722807;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.222937;1770387152.2229366;1.4306615;-0.1722835;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.232892;1770387152.2328918;1.4406117;-0.1723701;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.242847;1770387152.2428470;1.4505620;-0.1723189;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.252802;1770387152.2528024;1.4605123;-0.1723142;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.262758;1770387152.2627575;1.4704625;-0.1723170;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.272713;1770387152.2727127;1.4804128;-0.1723273;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.282668;1770387152.2826681;1.4903631;-0.1723412;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.292623;1770387152.2926233;1.5003134;-0.1723813;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.302578;1770387152.3025784;1.5102636;-0.1723375;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.312534;1770387152.3125339;1.5202139;-0.1723096;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.322489;1770387152.3224890;1.5301642;-0.1723077;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.332444;1770387152.3324442;1.5401145;-0.1723003;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.342400;1770387152.3423996;1.5500647;-0.1722611;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.352355;1770387152.3523548;1.5600150;-0.1723003;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.362310;1770387152.3623097;1.5699650;-0.1723198;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.372265;1770387152.3722646;1.5799150;-0.1723394;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.382220;1770387152.3822196;1.5898650;-0.1722835;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.392175;1770387152.3921747;1.5998149;-0.1723105;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.402130;1770387152.4021297;1.6097649;-0.1722854;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.412085;1770387152.4120846;1.6197149;-0.1722900;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.422040;1770387152.4220395;1.6296649;-0.1722733;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.431994;1770387152.4319944;1.6396149;-0.1722882;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.441949;1770387152.4419494;1.6495649;-0.1722537;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.451904;1770387152.4519043;1.6595148;-0.1722677;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.461859;1770387152.4618592;1.6694648;-0.1722695;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.471814;1770387152.4718144;1.6794148;-0.1722928;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.481769;1770387152.4817693;1.6893648;-0.1722807;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.491724;1770387152.4917243;1.6993148;-0.1723291;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.501679;1770387152.5016792;1.7092648;-0.1723198;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.511634;1770387152.5116341;1.7192148;-0.1722490;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.521589;1770387152.5215890;1.7291647;-0.1722584;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.531544;1770387152.5315440;1.7391147;-0.1723561;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.541499;1770387152.5414991;1.7490647;-0.1723617;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.551454;1770387152.5514541;1.7590147;-0.1723459;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.561409;1770387152.5614090;1.7689647;-0.1722500;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.571364;1770387152.5713639;1.7789147;-0.1722788;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.581319;1770387152.5813189;1.7888647;-0.1722956;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.591274;1770387152.5912738;1.7988146;-0.1723133;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.601229;1770387152.6012287;1.8087646;-0.1722621;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.611184;1770387152.6111839;1.8187146;-0.1722854;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.621139;1770387152.6211388;1.8286646;-0.1723068;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.631094;1770387152.6310937;1.8386146;-0.1723310;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.641049;1770387152.6410487;1.8485646;-0.1723003;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.651004;1770387152.6510036;1.8585145;-0.1722798;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.660959;1770387152.6609585;1.8684645;-0.1722928;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.670913;1770387152.6709135;1.8784145;-0.1722835;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.680869;1770387152.6808686;1.8883645;-0.1723105;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.690824;1770387152.6908236;1.8983145;-0.1723142;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.700778;1770387152.7007785;1.9082645;-0.1722928;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.710733;1770387152.7107334;1.9182145;-0.1723152;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.720688;1770387152.7206883;1.9281644;-0.1723180;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.730643;1770387152.7306433;1.9381144;-0.1723003;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.740598;1770387152.7405982;1.9480644;-0.1722965;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.750553;1770387152.7505531;1.9580144;-0.1722844;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.760508;1770387152.7605083;1.9679644;-0.1723170;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.770463;1770387152.7704632;1.9779144;-0.1723683;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.780418;1770387152.7804182;1.9878643;-0.1723496;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.790373;1770387152.7903731;1.9978143;-0.1723627;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.800328;1770387152.8003280;2.0077643;-0.1723683;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.810283;1770387152.8102829;2.0177143;-0.1723496;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.820238;1770387152.8202379;2.0276643;-0.1723580;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.830193;1770387152.8301930;2.0376143;-0.1723673;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.840148;1770387152.8401480;2.0475643;-0.1723105;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.850103;1770387152.8501029;2.0575142;-0.1723757;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.860058;1770387152.8600578;2.0674642;-0.1723738;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.870013;1770387152.8700128;2.0774142;-0.1722900;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.879968;1770387152.8799677;2.0873642;-0.1722611;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.889923;1770387152.8899226;2.0973142;-0.1723003;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.899878;1770387152.8998775;2.1072642;-0.1723403;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.909833;1770387152.9098327;2.1172142;-0.1723496;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.919788;1770387152.9197876;2.1271641;-0.1723375;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.929743;1770387152.9297426;2.1371141;-0.1723468;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.939698;1770387152.9396975;2.1470641;-0.1723366;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.949652;1770387152.9496524;2.1570141;-0.1723254;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.959607;1770387152.9596074;2.1669641;-0.1723673;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.969562;1770387152.9695623;2.1769141;-0.1723105;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.979517;1770387152.9795175;2.1868640;-0.1723152;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.989472;1770387152.9894724;2.1968140;-0.1723068;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:32.999427;1770387152.9994273;2.2067640;-0.1722956;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.009382;1770387153.0093822;2.2167140;-0.1723189;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.019337;1770387153.0193372;2.2266640;-0.1723357;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.029292;1770387153.0292921;2.2366139;-0.1722975;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.039247;1770387153.0392470;2.2465639;-0.1723031;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.049202;1770387153.0492020;2.2565139;-0.1723012;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.059157;1770387153.0591569;2.2664638;-0.1722928;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.069112;1770387153.0691118;2.2764138;-0.1722192;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.079067;1770387153.0790668;2.2863638;-0.1722369;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.089022;1770387153.0890217;2.2963138;-0.1722295;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.098977;1770387153.0989769;2.3062637;-0.1722574;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.108932;1770387153.1089318;2.3162137;-0.1722826;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.118887;1770387153.1188867;2.3261637;-0.1722779;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.128842;1770387153.1288416;2.3361136;-0.1722798;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.138797;1770387153.1387966;2.3460636;-0.1722453;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.148751;1770387153.1487515;2.3560136;-0.1722416;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.158706;1770387153.1587064;2.3659635;-0.1723180;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.168661;1770387153.1686614;2.3759135;-0.1722658;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.178616;1770387153.1786163;2.3858635;-0.1722611;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.188571;1770387153.1885712;2.3958135;-0.1722965;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.198526;1770387153.1985261;2.4057634;-0.1723096;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.208481;1770387153.2084811;2.4157134;-0.1722630;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.218436;1770387153.2184360;2.4256634;-0.1722667;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.228391;1770387153.2283909;2.4356133;-0.1722388;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.238346;1770387153.2383459;2.4455633;-0.1722854;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.248301;1770387153.2483008;2.4555133;-0.1723198;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.258256;1770387153.2582560;2.4654632;-0.1722947;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.268211;1770387153.2682109;2.4754132;-0.1723021;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.278166;1770387153.2781658;2.4853632;-0.1723021;0.0000000;0.0000000;0.0000000;
06.02.2026 15:12:33.288121;1770387153.2881207;2.4953132;-0.1722956;0.0000000;0.0000000;0.0000000;
